鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,latitude,longitude,郵遞區號6碼,土地位置建物門牌,distance(警察局)(km),附近1km是否有警察局,distance(捷運站)(km),附近1km是否有捷運站,distance(超商&超市)(km),附近1km是否有超商&超市,distance(寺廟)(km),附近1km是否有寺廟,distance(臺北市殯儀館)(km),附近1km是否有殯儀館,distance(醫院)(km),附近1km是否有醫院,路名
中山區,房地(土地+建物),21.9,土地1建物1車位0,一層,五層,2,商業用,鋼筋混凝土造,102.25,2,0,1,有,無,16000000,,0.0,0,含增建或未登記建物。；,35.52,60.75,0.0,0,台北市,104,2019,12,7,30.930625,517286.6697649983,1983,6,25,36,0,25.057195,121.529509,104085.0,臺北市中山區吉林路174巷7之1號,0.3380642360839394,1,0.6781494464959399,1,0.0573848151155433,1,0.5055418222237128,1,0.7622818401775034,1,0.5174063111353611,1,吉林路
中山區,房地(土地+建物),2.78,土地1建物1車位0,十二層,十三層,5,住家用,鋼筋混凝土造,31.39,1,1,1,有,有,8380000,,0.0,0,含增建或未登記建物。；,15.47,0.6,3.47,1,台北市,104,2020,1,5,9.495475,882525.6240472435,2009,3,27,11,0,25.049198,121.521068,104001.0,臺北市中山區中山北路一段84號12樓,0.098067357622549,1,0.3759291565578102,1,0.0881193575886258,1,0.3517245073008805,1,1.9792302577452776,0,1.3023339016566524,0,中山北路一段
中山區,房地(土地+建物),57.0,土地1建物1車位0,四層,四層,2,住家用,鋼筋混凝土造,137.93,10,0,2,有,無,22000000,,0.0,0,含增建或未登記建物。；,137.93,0.0,0.0,0,台北市,104,2019,12,28,41.723825,527276.6818478411,1973,11,3,46,0,25.055234,121.53952,104110.0,臺北市中山區合江街17巷5號4樓,0.3518851412776972,1,0.4308058215824545,1,0.1223511517531863,1,0.5180670845607066,1,1.0680167574479669,0,0.7897161224105426,1,合江街
中山區,房地(土地+建物),8.69,土地1建物1車位0,五層,七層,3,住家用,鋼筋混凝土造,50.44,3,2,1,有,無,8000000,,0.0,0,,42.22,0.0,6.39,1,台北市,104,2020,2,3,15.2581,524311.6770764381,1979,3,23,41,0,25.046959,121.541019,104025.0,臺北市中山區新生北路二段１４５號五樓,0.1697721534328447,1,0.6435432533385991,1,0.0419360586061624,1,0.4145850501042399,1,1.9461701845492785,0,0.8037093670710425,1,新生北路二段
中山區,房地(土地+建物),3.82,土地2建物1車位0,六層,十二層,1,住家用,鋼筋混凝土造,47.63,1,1,1,有,有,2750000,,0.0,0,親友、員工或其他特殊關係間之交易。；二親等間買賣,33.48,0.0,5.07,1,台北市,104,2020,1,10,14.408075,190865.19191495047,1977,1,21,43,0,25.055605,121.52558,104612.0,臺北市中山區林森北路289號6樓之15,0.1689483585118831,1,0.5605499252940378,1,0.0984488384047577,1,0.4739114451007118,1,1.1447200565275295,0,0.8867142401021902,1,林森北路
中山區,房地(土地+建物),4.36,土地1建物1車位0,二層,七層,3,商業用,鋼筋混凝土造,56.91,2,1,1,有,有,9100000,,0.0,0,,37.35,0.0,15.3,1,台北市,104,2019,11,17,17.215275,528600.3273255874,1983,5,20,36,0,25.06625,121.53191,104054.0,臺北市中山區德惠街170巷1號二樓之4,0.2459274718758004,1,0.2561504027069342,1,0.0243518309058038,1,0.3744652338996065,1,0.3800503308802906,1,0.5295747407437708,1,德惠街
中山區,房地(土地+建物),6.57,土地2建物1車位0,十一層,十一層,5,住家用,鋼筋混凝土造,51.73,1,1,1,有,有,7800000,,0.0,0,,35.62,0.0,3.09,1,台北市,104,2019,12,31,15.648324999999998,498455.9050249788,1978,3,1,41,0,25.065407,121.528041,104632.0,臺北市中山區新生北路三段４３號十一樓之５,0.6089559249583547,1,0.3105743290018207,1,0.0435342431199615,1,0.348749753005336,1,0.5976872925755368,1,0.5606915564160403,1,新生北路三段
中山區,房地(土地+建物)+車位,14.27,土地1建物1車位1,七層,九層,3,住家用,鋼筋混凝土造,92.41,1,1,1,有,有,16000000,塔式車位,14.24,1800000,含增建或未登記建物。,39.07,8.86,4.3,1,台北市,104,2020,1,15,27.954025,572368.3798665844,2012,1,9,8,1,25.05098,121.526923,104008.0,臺北市中山區南京東路一段１３２巷１８號７樓之１,0.4462881825544815,1,0.6881338740043245,1,0.1382163477708116,1,0.5049286905315401,1,1.4926146200200825,0,0.7108491013830383,1,南京東路一段
中山區,房地(土地+建物),2.33,土地1建物1車位0,六層,十二層,5,商業用,鋼筋混凝土造,23.97,1,1,1,有,有,3200000,,0.0,0,親友、員工或其他特殊關係間之交易。；,16.8,0.0,2.61,1,台北市,104,2020,1,19,7.250925,441323.0036167799,1981,5,15,39,0,25.051507,121.525349,104008.0,臺北市中山區正義里林森北路147號6樓之6,0.2771956789140964,1,0.5200661497320823,1,0.0805768592030732,1,0.5360866125695651,1,1.5189563079764308,0,0.8761876124896422,1,正義里林森北路
中山區,房地(土地+建物)+車位,30.28,土地1建物1車位2,十層,十四層,1,住家用,鋼筋混凝土造,329.91,4,2,2,有,有,76000000,坡道平面,97.26,6000000,含增建或未登記建物。,135.22,1.94,17.12,1,台北市,104,2019,12,25,99.797775,761540.0243141693,2007,8,6,12,1,25.0576018,121.5398944,104111.0,臺北市中山區民生東路三段３２號１０樓之２,0.5061663921846447,1,0.4717076317160713,1,0.0994720588732118,1,0.6577789134092495,1,0.8948052597986563,1,0.945443977975775,1,民生東路三段
