鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無,PK_key,latitude,longitude,郵遞區號6碼,土地位置建物門牌
中山區,房地(土地+建物),2.26,土地1建物1車位0,六層,十四層,5,商業用,鋼筋混凝土造,31.96,0,0,0,無,有,3600000,,0.0,0,,22.54,0.0,0.0,1,台北市,104,2020,3,10,9.6679,372366.2843016581,1979,1,19,41,0,RPUPMLSLMHPFFCA98CA,25.059995,121.52719,,臺北市中山區新生北路二段１０８號六樓之１３
中山區,房地(土地+建物),2.35,土地1建物1車位0,六層,十四層,5,商業用,鋼筋混凝土造,34.660000000000004,0,0,0,無,有,3650000,,0.0,0,,24.35,0.0,0.0,1,台北市,104,2020,3,10,10.48465,348127.9775672054,1979,1,19,41,0,RPVPMLSLMHPFFCA09CA,25.059995,121.52719,,臺北市中山區新生北路二段１０８號六樓之１２
中山區,房地(土地+建物)+車位,10.46,土地2建物1車位1,五層,十四層,1,商業用,鋼筋混凝土造,130.43,2,1,1,有,有,19000000,坡道平面,39.18,0,含增建或未登記建物。；,47.79,1.68,4.1,1,台北市,104,2020,3,9,39.455075,481560.3569376056,2006,7,13,14,1,RPQNMLOLMHPFFCA97CA,25.053423,121.537241,,臺北市中山區建國北路二段9之2號5樓之2
中山區,房地(土地+建物),4.46,土地1建物1車位0,五層,七層,5,住家用,鋼筋混凝土造,32.21,1,1,1,有,有,4200000,,0.0,0,親友、員工或其他特殊關係間之交易。；,24.57,0.0,3.13,1,台北市,104,2020,3,16,9.743525,431055.4958292815,1976,7,22,44,0,RPTOMLNLMHPFFCA28CA,25.055624,121.527798,,臺北市中山區新生北路二段４３號五樓之３
中山區,房地(土地+建物),4.6,土地1建物1車位0,七層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12780000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,9,3,14.4232,886072.4388485219,2020,1,20,-1,0,RPVPMLNLMHPFFCA58CA,25.062905,121.524956,,臺北市中山區民權東路一段５７之１號七樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,四層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12150000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,12,16,14.4232,842392.8115813412,2020,1,20,-1,0,RPXOMLNLMHPFFCA68CA,25.062902,121.525007,,臺北市中山區民權東路一段５９之１號四樓
中山區,房地(土地+建物)+車位,7.65,土地1建物1車位1,五層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,117.72,0,0,0,無,有,23270000,升降平面,38.92,2100000,,36.63,6.14,7.59,1,台北市,104,2019,11,26,35.610299999999995,653462.6217695443,2020,1,20,-1,1,RPQPMLNLMHPFFCA08CA,25.062906,121.524941,,臺北市中山區民權東路一段５７號五樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,五層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12550000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,9,11,14.4232,870125.9082589162,2020,1,20,-1,0,RPRPMLNLMHPFFCA18CA,25.062902,121.525007,,臺北市中山區民權東路一段５９之１號五樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,二層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12080000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,8,31,14.4232,837539.5196627656,2020,1,20,-1,0,RPUNMLNLMHPFFCA28CA,25.062905,121.524956,,臺北市中山區民權東路一段５７之１號二樓
中山區,房地(土地+建物),4.6,土地1建物1車位0,三層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,47.68,0,0,0,無,有,12150000,,0.0,0,,28.02,2.45,0.0,1,台北市,104,2019,9,16,14.4232,842392.8115813412,2020,1,20,-1,0,RPWNMLNLMHPFFCA48CA,25.062902,121.525007,,臺北市中山區民權東路一段５９之１號三樓
中山區,房地(土地+建物),5.82,土地1建物1車位0,三層,十二層,1,見其他登記事項,鋼骨鋼筋混凝土造,60.260000000000005,0,0,0,無,有,14900000,,0.0,0,,33.9,4.62,0.0,1,台北市,104,2020,1,6,18.22865,817394.5958696888,2020,1,20,0,0,RPOOMLNLMHPFFCA77CA,25.062902,121.525052,,臺北市中山區民權東路一段６１之１號三樓
