土地位置建物門牌,latitude,longitude,Unnamed: 0,鄉鎮市區,交易標的,土地移轉總面積平方公尺,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,主建物面積,附屬建物面積,陽台面積,電梯,縣市名稱,郵遞區號,交易年,交易月,交易日,里,交易座標橫坐標,交易座標綜座標,建物坪數,單坪價格,建築完成年,建築完成月,建築完成日,交易時屋齡,車位有無
臺北市中山區松江路８號１０樓之６,25.046457,121.532689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民權東路一段７９號九樓,25.062847,121.527362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區錦州街23巷1之1號六樓之3,25.060632,121.525225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區南京東路三段８９巷２７弄７號,25.0538876,121.5377682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區八德路二段１７４巷１８號十二樓,25.045544,121.538138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區林森北路413號10樓之5,25.059762,121.525709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區農安街１９號十一樓之４,25.065031,121.524022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區雙城街１３巷２２號三樓之２,25.064026,121.525187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區雙城街19巷8號11樓之14,25.065328,121.524851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民生東路一段４８號三樓,25.057949,121.524734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區建國北路二段３巷１５號３樓之１,25.052644,121.537636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區長安東路一段20號2樓之5、2樓之6,25.049155,121.523886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區新生北路三段26號5樓之9,25.063708,121.527389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區林森北路４０９號六樓之２１,25.059603,121.525702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區敬業三路１６２巷１３２號七樓,25.077474,121.559016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民權東路一段７７號十六樓,25.062865,121.527261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區農安街４５號九樓之４,25.06499,121.526627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區新生北路二段６８巷３０號３樓之１２,25.056696,121.526221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區撫順街2號5樓之1,25.063728,121.521924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區新生北路二段６８巷８號4樓之2,25.053423,121.537241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區新生北路三段５６巷２１號５樓,25.06544,121.52646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區松江路２７３號１２樓之１０,25.059933,121.533444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區民權東路二段１３５巷１６號六樓之３,25.063652,121.534925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區建國北路一段５０巷２５號二樓,25.047967,121.535187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路一段５３巷８號五樓之１０,25.049101,121.522127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區長安東路二段１１８之３號十樓,25.048276,121.536223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區南京東路二段２３號十五樓,25.052338,121.528844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區中山北路一段１０５巷１０號五樓之２,25.050606,121.523489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區長安東路一段20號5樓之1,25.049155,121.523886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺北市中山區林森北路４０９號十樓之５,25.059603,121.525702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
